"drug_name","drug_ndc_normalized","drug_ndc_raw","n_occurrences","target_concept_id"
"sumatriptan","00093022419","00093022419",262,""
"chlorambucil","00173063535","00173-0635-35",256,""
"rituximab","05024005121","05024005121",253,""
"citalopram","00093474101","00093474101",253,""
"Ibuprofen","5456941020","54569-4102-*0",251,""
"vincristine","00013745686","00013-7456-86",244,""
"doxorubicin","5539023110","55390-*231-10",244,""
"Estrogens","5128544102","51285-*441-02",240,""
"enalapril","5456951330","54569-5133-*0",239,""
"sertraline","5456958181","54569-5818-*1",237,""
"Dexamethasone","00641627215","00641627215",234,""
"Naproxen","4254959230","42549-*592-30",233,""
"amitriptyline","6524300603","65243-*006-03",233,""
"Methocarbamol","5456940481","54569-4048-*1",233,""
"ROFERON-A","00004201709","00004201709",231,""
"Alendronate sodium","00093517119","00093517119",219,""
"Indomethacin","5456902771","54569-0277-*1",219,""
"sulfasalazine","00182101601","00182101601",214,""
"5-FU","00004150603","00004150603",213,""
"hydrocodone (Vicodin)","5456900325","54569-0032-*5",208,""
"ondansetron","00093723619","00093723619",202,""
"LANTUS","00088222052","00088222052",200,""
"sertraline","1659045730","16590-*457-30",200,""
"pentoxifylline","00115704401","00115704401",188,""
"CELESTONE","00085087905","00085087905",185,""
"trimethoprim","5486816161","54868-1616-*1",181,""
"prochlorperazine","5456947200","54569-4720-*0",180,""
"prazosin","5486812901","54868-1290-*1",165,""
"dexamethasone","5801678100","58016-*781-00",161,""
"methotrexate","5539014301","55390-*143-01",158,""
"hydrocortisone","00409485605","00409-4856-05",158,""
"cytarabine","5539080610","55390-*806-10",158,""
"prednisone","5456903325","54569-0332-*5",152,""
"methylphenidate","5977288401","59772-8840-*1",151,""
"gemfibrozil","00093067006","00093067006",146,""
"methylphenidate","00406112101","00406-1121-01",132,""
"Ultram","5456940890","54569-4089-*0",131,""
"clindamycin","00009022501","00009-0225-01",131,""
"Pentoxifylline","5456959720","54569-5972-*0",126,""
"Lamivudine","5456945380","54569-4538-*0",125,""
"Interferon alfa 2-b","00085123501","00085-1235-01",117,""
"Trental","00039007811","00039007811",116,""
"ATNATIV","00944099601","00944099601",115,""
"Pentoxil","00245002711","00245-0027-11",114,""
"ELOXATIN","00024059010","00024059010",113,""
"metformin","5456953600","54569-5360-*0",111,""
"Nicardipine","00093079301","00093079301",104,""
"Prednisone","5456903325","54569-0332-*5",102,""
"Pentoxifylline","4999954260","49999-*542-60",96,""
"Heparin","00074779462","00074779462",94,""
"warfarin","5456949340","54569-4934-*0",92,""
"Acetaminophen","00364724812","00364724812",91,""
"Pletal","5914800216","59148-*002-16",89,""
"Simvastatin","00093715510","00093715510",89,""
"Theophylline","00047019624","00047019624",87,""
"heparin","00074779361","00074779361",83,""
"glipizide","5456938410","54569-3841-*0",71,""
"Irinotecan","6675804801","66758-*048-01",70,""
"fondaparinux","00007323601","00007-3236-01",67,""
"HYCAMTIN","00007420101","00007420101",66,""
"diclofenac","5801648900","58016-*489-00",64,""
"mannitol","00517405025","00517-4050-25",59,""
"salmeterol","00173052000","00173-0520-00",58,""
"amlodipine","5486857820","54868-5782-*0",57,""
"benazepril","5456956690","54569-5669-*0",57,""
"Metoprolol","5456937880","54569-3788-*0",39,""
"5-Fluorouracil","00013105694","00013-1056-94",34,""
"dilaudid","00044108501","00044-1085-01",34,""
"insulin detemir","00169643910","00169-6439-10",33,""
"ONXOL","00172375396","00172375396",33,""
"Metoprolol","00047095524","00047095524",33,""
"morphine sulfate","00186115102","00186-1151-02",33,""
"diclofenac","00228271711","00228-2717-11",31,""
"haloperidol","00904183160","00904-1831-60",31,""
"cyclobenzaprine","4254950830","42549-*508-30",29,""
"Platinol","00015307220","00015307220",28,""
"duloxetine","5486851920","54868-5192-*0",28,""
"naproxen","5801628900","58016-*289-00",28,""
"hydrocodone-acetaminophen 5-500","5456909160","54569-0916-*0",25,""
"Esmolol","1001902518","10019-*025-18",21,""
"tamoxifen","00555090401","00555-0904-01",20,""
"prednisolone","00403077450","00403077450",16,""
"meclizine","5456903473","54569-0347-*3",13,""
"trastuzumab","5024205656","50242-*056-56",13,""
"Oxaliplatin","00024059240","00024-0592-40",12,""
"scopolamine","6332326801","63323-*268-01",12,""
"INNOHEP","00056034208","00056034208",11,""
"bicalutamide","00093022001","00093-0220-01",11,""
"Heparin","00641246045","00641-2460-45",10,""
"AVELOX","00085173302","00085173302",8,""
"enoxaparin","00781311964","00781311964",8,""
"carboplatin","6332316610","63323-*166-10",7,""
"oxycodone-acetaminophen 5-500","00590012770","00590-0127-70",7,""
"desipramine","5215234102","52152-*341-02",7,""
"Albuterol","5456957770","54569-5777-*0",6,""
"Tinzaparin","5022234208","50222-*342-08",6,""
"Warfarin","6754440130","67544-*401-30",6,""
"B12","6208614630","62086-*146-30",6,""
"venlafaxine","00131326732","00131-3267-32",5,""
"haloperidol","00005317543","00005317543",4,""
"Intravenous Immunoglobulin","4420641501","44206-*415-01",4,""
"erythropoetin","5551382310","55513-*823-10",4,""
"Reteplase","2447704001","24477-*040-01",3,""
"Heparin","6332354401","63323-*544-01",3,""
"paclitaxel","5539030405","55390-*304-05",3,""
"Fondaparinux sodium","00007323002","00007-3230-02",2,""
"paclitaxel","6675804301","66758-*043-01",2,""
"Enoxaparin","00781311963","00781-3119-63",1,""
